Name,Sex,Sport,Team,Value Column Name,Value
Ole Einar Bjrndalen,All,All,All,Silver Medals,
Ole Einar Bjrndalen,All,All,All,Bronze Medals,
Ole Einar Bjrndalen,M,All,All,Medals,
Ole Einar Bjrndalen,M,All,All,Gold Medals,
Ole Einar Bjrndalen,M,All,All,Silver Medals,
Ole Einar Bjrndalen,M,All,All,Bronze Medals,
Ole Einar Bjrndalen,M,Biathlon,All,Medals,
Ole Einar Bjrndalen,M,Biathlon,All,Gold Medals,
Ole Einar Bjrndalen,M,Biathlon,All,Silver Medals,
Ole Einar Bjrndalen,M,Biathlon,All,Bronze Medals,
Ole Einar Bjrndalen,M,Biathlon,Norway,Medals,13
Ole Einar Bjrndalen,M,Biathlon,Norway,Gold Medals,8
Ole Einar Bjrndalen,M,Biathlon,Norway,Silver Medals,4
Ole Einar Bjrndalen,M,Biathlon,Norway,Bronze Medals,1
Takashi Ono,All,All,All,Medals,
Takashi Ono,All,All,All,Gold Medals,
Takashi Ono,All,All,All,Silver Medals,
Takashi Ono,All,All,All,Bronze Medals,
Takashi Ono,M,All,All,Medals,
Takashi Ono,M,All,All,Gold Medals,
Takashi Ono,M,All,All,Silver Medals,
Takashi Ono,M,All,All,Bronze Medals,
Takashi Ono,M,Gymnastics,All,Medals,
Takashi Ono,M,Gymnastics,All,Gold Medals,
Takashi Ono,M,Gymnastics,All,Silver Medals,
Takashi Ono,M,Gymnastics,All,Bronze Medals,
Takashi Ono,M,Gymnastics,Japan,Medals,13
Takashi Ono,M,Gymnastics,Japan,Gold Medals,5
Takashi Ono,M,Gymnastics,Japan,Silver Medals,4
Takashi Ono,M,Gymnastics,Japan,Bronze Medals,4
Aleksey Yuryevich Nemov,All,All,All,Medals,
Aleksey Yuryevich Nemov,All,All,All,Gold Medals,
Aleksey Yuryevich Nemov,All,All,All,Silver Medals,
Aleksey Yuryevich Nemov,All,All,All,Bronze Medals,
Aleksey Yuryevich Nemov,M,All,All,Medals,
Aleksey Yuryevich Nemov,M,All,All,Gold Medals,
Aleksey Yuryevich Nemov,M,All,All,Silver Medals,
Aleksey Yuryevich Nemov,M,All,All,Bronze Medals,
Aleksey Yuryevich Nemov,M,Gymnastics,All,Medals,
Aleksey Yuryevich Nemov,M,Gymnastics,All,Gold Medals,
Aleksey Yuryevich Nemov,M,Gymnastics,All,Silver Medals,
Aleksey Yuryevich Nemov,M,Gymnastics,All,Bronze Medals,
Aleksey Yuryevich Nemov,M,Gymnastics,Russia,Medals,12
Aleksey Yuryevich Nemov,M,Gymnastics,Russia,Gold Medals,4
Aleksey Yuryevich Nemov,M,Gymnastics,Russia,Silver Medals,2
Aleksey Yuryevich Nemov,M,Gymnastics,Russia,Bronze Medals,6
"Dara Grace Torres (-Hoffman, -Minas)",All,All,All,Medals,
"Dara Grace Torres (-Hoffman, -Minas)",All,All,All,Gold Medals,
"Dara Grace Torres (-Hoffman, -Minas)",All,All,All,Silver Medals,
"Dara Grace Torres (-Hoffman, -Minas)",All,All,All,Bronze Medals,
"Dara Grace Torres (-Hoffman, -Minas)",F,All,All,Medals,
"Dara Grace Torres (-Hoffman, -Minas)",F,All,All,Gold Medals,
"Dara Grace Torres (-Hoffman, -Minas)",F,All,All,Silver Medals,
