Name,Sex,Sport,Team,Value Column Name,Value
gnes Keleti-Srkny (Klein),F,Gymnastics,Hungary,Medals,10
gnes Keleti-Srkny (Klein),F,Gymnastics,Hungary,Gold Medals,5
gnes Keleti-Srkny (Klein),F,Gymnastics,Hungary,Silver Medals,3
gnes Keleti-Srkny (Klein),F,Gymnastics,Hungary,Bronze Medals,2
Marit Bjrgen,All,All,All,Medals,
Marit Bjrgen,All,All,All,Gold Medals,
Marit Bjrgen,All,All,All,Silver Medals,
Marit Bjrgen,All,All,All,Bronze Medals,
Marit Bjrgen,F,All,All,Medals,
Marit Bjrgen,F,All,All,Gold Medals,
Marit Bjrgen,F,All,All,Silver Medals,
Marit Bjrgen,F,All,All,Bronze Medals,
Marit Bjrgen,F,Cross Country Skiing,All,Medals,
Marit Bjrgen,F,Cross Country Skiing,All,Gold Medals,
Marit Bjrgen,F,Cross Country Skiing,All,Silver Medals,
Marit Bjrgen,F,Cross Country Skiing,All,Bronze Medals,
Marit Bjrgen,F,Cross Country Skiing,Norway,Medals,10
Marit Bjrgen,F,Cross Country Skiing,Norway,Gold Medals,6
Marit Bjrgen,F,Cross Country Skiing,Norway,Silver Medals,3
Marit Bjrgen,F,Cross Country Skiing,Norway,Bronze Medals,1
Polina Hryhorivna Astakhova,All,All,All,Medals,
Polina Hryhorivna Astakhova,All,All,All,Gold Medals,
Polina Hryhorivna Astakhova,All,All,All,Silver Medals,
Polina Hryhorivna Astakhova,All,All,All,Bronze Medals,
Polina Hryhorivna Astakhova,F,All,All,Medals,
Polina Hryhorivna Astakhova,F,All,All,Gold Medals,
Polina Hryhorivna Astakhova,F,All,All,Silver Medals,
Polina Hryhorivna Astakhova,F,All,All,Bronze Medals,
Polina Hryhorivna Astakhova,F,Gymnastics,All,Medals,
Polina Hryhorivna Astakhova,F,Gymnastics,All,Gold Medals,
Polina Hryhorivna Astakhova,F,Gymnastics,All,Silver Medals,
Polina Hryhorivna Astakhova,F,Gymnastics,All,Bronze Medals,
Polina Hryhorivna Astakhova,F,Gymnastics,Soviet Union,Medals,10
Polina Hryhorivna Astakhova,F,Gymnastics,Soviet Union,Gold Medals,5
Polina Hryhorivna Astakhova,F,Gymnastics,Soviet Union,Silver Medals,2
Polina Hryhorivna Astakhova,F,Gymnastics,Soviet Union,Bronze Medals,3
"Raymond Clarence Ray"" Ewry""",All,All,All,Medals,
"Raymond Clarence Ray"" Ewry""",All,All,All,Gold Medals,
"Raymond Clarence Ray"" Ewry""",All,All,All,Silver Medals,
"Raymond Clarence Ray"" Ewry""",All,All,All,Bronze Medals,
"Raymond Clarence Ray"" Ewry""",M,All,All,Medals,
"Raymond Clarence Ray"" Ewry""",M,All,All,Gold Medals,
"Raymond Clarence Ray"" Ewry""",M,All,All,Silver Medals,
"Raymond Clarence Ray"" Ewry""",M,All,All,Bronze Medals,
"Raymond Clarence Ray"" Ewry""",M,Athletics,All,Medals,
"Raymond Clarence Ray"" Ewry""",M,Athletics,All,Gold Medals,
"Raymond Clarence Ray"" Ewry""",M,Athletics,All,Silver Medals,
"Raymond Clarence Ray"" Ewry""",M,Athletics,All,Bronze Medals,
"Raymond Clarence Ray"" Ewry""",M,Athletics,United States,Medals,10
"Raymond Clarence Ray"" Ewry""",M,Athletics,United States,Gold Medals,10
"Raymond Clarence Ray"" Ewry""",M,Athletics,United States,Silver Medals,0
"Raymond Clarence Ray"" Ewry""",M,Athletics,United States,Bronze Medals,0
Stefania Belmondo,All,All,All,Medals,
Stefania Belmondo,All,All,All,Gold Medals,
Stefania Belmondo,All,All,All,Silver Medals,
Stefania Belmondo,All,All,All,Bronze Medals,
Stefania Belmondo,F,All,All,Medals,
Stefania Belmondo,F,All,All,Gold Medals,
Stefania Belmondo,F,All,All,Silver Medals,
Stefania Belmondo,F,All,All,Bronze Medals,
Stefania Belmondo,F,Cross Country Skiing,All,Medals,
Stefania Belmondo,F,Cross Country Skiing,All,Gold Medals,
Stefania Belmondo,F,Cross Country Skiing,All,Silver Medals,
Stefania Belmondo,F,Cross Country Skiing,All,Bronze Medals,
Stefania Belmondo,F,Cross Country Skiing,Italy,Medals,10
Stefania Belmondo,F,Cross Country Skiing,Italy,Gold Medals,2
Stefania Belmondo,F,Cross Country Skiing,Italy,Silver Medals,3
Stefania Belmondo,F,Cross Country Skiing,Italy,Bronze Medals,5
Yang Yang,All,All,All,Medals,
Yang Yang,All,All,All,Gold Medals,
Yang Yang,All,All,All,Silver Medals,
Yang Yang,All,All,All,Bronze Medals,
Yang Yang,F,All,All,Medals,
Yang Yang,F,All,All,Gold Medals,
Yang Yang,F,All,All,Silver Medals,
Yang Yang,F,All,All,Bronze Medals,
Yang Yang,F,Short Track Speed Skating,All,Medals,
Yang Yang,F,Short Track Speed Skating,All,Gold Medals,
Yang Yang,F,Short Track Speed Skating,All,Silver Medals,
Yang Yang,F,Short Track Speed Skating,All,Bronze Medals,
Yang Yang,F,Short Track Speed Skating,China,Medals,10
Yang Yang,F,Short Track Speed Skating,China,Gold Medals,2
Yang Yang,F,Short Track Speed Skating,China,Silver Medals,6
Yang Yang,F,Short Track Speed Skating,China,Bronze Medals,2
