Index,Description,Group 1,Value Column Name,Value,
6,Renewable Energy (GAAP),Revenues,Segment profit (loss)_2020,-715,
6,Renewable Energy (GAAP),Revenues,Segment profit (loss)_2019,-791,
6,Renewable Energy (GAAP),Revenues,Segment profit (loss)_V%,0.1,
6,Renewable Energy (GAAP),Profit margin,Profit Margin_2020,-0.046,
6,Renewable Energy (GAAP),Profit margin,Profit Margin_2019,-0.052,
6,Renewable Energy (GAAP),Profit margin,Profit Margin_V,0.6,
7,All,All,Revenues_2020,,
7,All,All,Revenues_2019,,
7,All,All,Revenues_V%,,
7,All,Revenues,Segment profit (loss)_2020,,
7,All,Revenues,Segment profit (loss)_2019,,
7,All,Revenues,Segment profit (loss)_V%,,
7,All,Profit margin,Profit Margin_2020,,
7,All,Profit margin,Profit Margin_2019,,
7,All,Profit margin,Profit Margin_V,,
7,Less: acquisitions,All,Revenues_2020,0,
7,Less: acquisitions,All,Revenues_2019,0,
7,Less: acquisitions,All,Revenues_V%,,
7,Less: acquisitions,Revenues,Segment profit (loss)_2020,0,
7,Less: acquisitions,Revenues,Segment profit (loss)_2019,0,
7,Less: acquisitions,Revenues,Segment profit (loss)_V%,,
7,Less: acquisitions,Profit margin,Profit Margin_2020,,
7,Less: acquisitions,Profit margin,Profit Margin_2019,,
7,Less: acquisitions,Profit margin,Profit Margin_V,,
8,All,All,Revenues_2020,,
8,All,All,Revenues_2019,,
8,All,All,Revenues_V%,,
8,All,Revenues,Segment profit (loss)_2020,,
8,All,Revenues,Segment profit (loss)_2019,,
8,All,Revenues,Segment profit (loss)_V%,,
8,All,Profit margin,Profit Margin_2020,,
8,All,Profit margin,Profit Margin_2019,,
8,All,Profit margin,Profit Margin_V,,
8,Less: business dispositions,All,Revenues_2020,8,
8,Less: business dispositions,All,Revenues_2019,94,
8,Less: business dispositions,All,Revenues_V%,,
8,Less: business dispositions,Revenues,Segment profit (loss)_2020,0,
8,Less: business dispositions,Revenues,Segment profit (loss)_2019,-11,
8,Less: business dispositions,Revenues,Segment profit (loss)_V%,,
8,Less: business dispositions,Profit margin,Profit Margin_2020,,
8,Less: business dispositions,Profit margin,Profit Margin_2019,,
