GEO (Labels),Level ,Value Column Name,Value
Prov. Hainaut,Levels 5 - 8,Unemployment,3.2
Picardie,All Levels,Unemployment,8.6
Picardie,Levels 0-2,Unemployment,16.6
Picardie,Levels 3 - 4,Unemployment,8.8
Picardie,Levels 5 - 8,Unemployment,4.4
Dogu Karadeniz,All Levels,Unemployment,8.8
Dogu Karadeniz,Levels 0-2,Unemployment,6.8
Dogu Karadeniz,Levels 3 - 4,Unemployment,11.3
Dogu Karadeniz,Levels 5 - 8,Unemployment,11.3
"Trabzon, Ordu, Giresun, Rize, Artvin, Gümüshane",All Levels,Unemployment,8.8
"Trabzon, Ordu, Giresun, Rize, Artvin, Gümüshane",Levels 0-2,Unemployment,6.8
"Trabzon, Ordu, Giresun, Rize, Artvin, Gümüshane",Levels 3 - 4,Unemployment,11.3
"Trabzon, Ordu, Giresun, Rize, Artvin, Gümüshane",Levels 5 - 8,Unemployment,11.3
Norra Sverige,All Levels,Unemployment,7.3
Norra Sverige,Levels 0-2,Unemployment,20.7
Norra Sverige,Levels 3 - 4,Unemployment,6
Norra Sverige,Levels 5 - 8,Unemployment,4
Centre - Val de Loire,All Levels,Unemployment,8.9
Centre - Val de Loire,Levels 0-2,Unemployment,14.2
Centre - Val de Loire,Levels 3 - 4,Unemployment,9.9
Centre - Val de Loire,Levels 5 - 8,Unemployment,4.8
Molise,All Levels,Unemployment,9.5
Molise,Levels 0-2,Unemployment,11
Molise,Levels 3 - 4,Unemployment,9.2
Molise,Levels 5 - 8,Unemployment,8.1
Prov. Liège,All Levels,Unemployment,7.8
Prov. Liège,Levels 0-2,Unemployment,17.2
Prov. Liège,Levels 3 - 4,Unemployment,8.5
Prov. Liège,Levels 5 - 8,Unemployment,4
"Samsun, Tokat, Çorum, Amasya",All Levels,Unemployment,8.4
"Samsun, Tokat, Çorum, Amasya",Levels 0-2,Unemployment,6.4
"Samsun, Tokat, Çorum, Amasya",Levels 3 - 4,Unemployment,11.5
"Samsun, Tokat, Çorum, Amasya",Levels 5 - 8,Unemployment,11.1
Etelä-Suomi,All Levels,Unemployment,7.7
Etelä-Suomi,Levels 0-2,Unemployment,16.3
Etelä-Suomi,Levels 3 - 4,Unemployment,8.4
Etelä-Suomi,Levels 5 - 8,Unemployment,4.9
Abruzzo,All Levels,Unemployment,9.3
Abruzzo,Levels 0-2,Unemployment,10.3
Abruzzo,Levels 3 - 4,Unemployment,9
Abruzzo,Levels 5 - 8,Unemployment,8.7
Haute-Normandie,All Levels,Unemployment,8.3
Haute-Normandie,Levels 0-2,Unemployment,15.9
Haute-Normandie,Levels 3 - 4,Unemployment,8.8
Haute-Normandie,Levels 5 - 8,Unemployment,4.3
"Tekirdag, Edirne, Kirklareli",All Levels,Unemployment,9.1
"Tekirdag, Edirne, Kirklareli",Levels 0-2,Unemployment,8.2
"Tekirdag, Edirne, Kirklareli",Levels 3 - 4,Unemployment,10.2
"Tekirdag, Edirne, Kirklareli",Levels 5 - 8,Unemployment,9.6
Lazio,All Levels,Unemployment,9.1
Lazio,Levels 0-2,Unemployment,13.3
Lazio,Levels 3 - 4,Unemployment,9.5
Lazio,Levels 5 - 8,Unemployment,5.1
Lorraine,All Levels,Unemployment,8.7
Lorraine,Levels 0-2,Unemployment,12.5
Lorraine,Levels 3 - 4,Unemployment,9.8
Lorraine,Levels 5 - 8,Unemployment,5.6
Corse,All Levels,Unemployment,8.1
Corse,Levels 0-2,Unemployment,18.8
Corse,Levels 3 - 4,Unemployment,9.5
Corse,Levels 5 - 8,Unemployment,
France,All Levels,Unemployment,8.1
France,Levels 0-2,Unemployment,14.1
France,Levels 3 - 4,Unemployment,8.9
France,Levels 5 - 8,Unemployment,5.2
Provence-Alpes-Côte d'Azur,All Levels,Unemployment,8
Provence-Alpes-Côte d'Azur,Levels 0-2,Unemployment,14.4
Provence-Alpes-Côte d'Azur,Levels 3 - 4,Unemployment,8.9
Provence-Alpes-Côte d'Azur,Levels 5 - 8,Unemployment,5
Île de France,All Levels,Unemployment,8.2
Île de France,Levels 0-2,Unemployment,11.8
Île de France,Levels 3 - 4,Unemployment,9.8
Île de France,Levels 5 - 8,Unemployment,6.4
Bati Karadeniz,All Levels,Unemployment,8.2
Bati Karadeniz,Levels 0-2,Unemployment,6.4
Bati Karadeniz,Levels 3 - 4,Unemployment,11.1
Bati Karadeniz,Levels 5 - 8,Unemployment,10.5
Italy,All Levels,Unemployment,9.2
Italy,Levels 0-2,Unemployment,12.8
Italy,Levels 3 - 4,Unemployment,8.8
Italy,Levels 5 - 8,Unemployment,5.3
Ostösterreich,All Levels,Unemployment,7.4
Ostösterreich,Levels 0-2,Unemployment,16.9
Ostösterreich,Levels 3 - 4,Unemployment,7.4
Ostösterreich,Levels 5 - 8,Unemployment,4.2
Serbia,All Levels,Unemployment,9.1
Serbia,Levels 0-2,Unemployment,9.1
Serbia,Levels 3 - 4,Unemployment,9.6
Serbia,Levels 5 - 8,Unemployment,8
Bourgogne,All Levels,Unemployment,7.8
Bourgogne,Levels 0-2,Unemployment,15.2
Bourgogne,Levels 3 - 4,Unemployment,8.9
Bourgogne,Levels 5 - 8,Unemployment,3.7
Alsace,All Levels,Unemployment,7.3
Alsace,Levels 0-2,Unemployment,16.4
Alsace,Levels 3 - 4,Unemployment,6.1
Alsace,Levels 5 - 8,Unemployment,5.8
Région wallonne,All Levels,Unemployment,7.3
Région wallonne,Levels 0-2,Unemployment,16.2
Région wallonne,Levels 3 - 4,Unemployment,8.2
Région wallonne,Levels 5 - 8,Unemployment,3.7
Bati Marmara,All Levels,Unemployment,8.5
Bati Marmara,Levels 0-2,Unemployment,7.3
Bati Marmara,Levels 3 - 4,Unemployment,9.7
Bati Marmara,Levels 5 - 8,Unemployment,9.7
"Manisa, Afyonkarahisar, Kütahya, Usak",All Levels,Unemployment,8.3
"Manisa, Afyonkarahisar, Kütahya, Usak",Levels 0-2,Unemployment,7.4
"Manisa, Afyonkarahisar, Kütahya, Usak",Levels 3 - 4,Unemployment,9.1
"Manisa, Afyonkarahisar, Kütahya, Usak",Levels 5 - 8,Unemployment,10.3
Basilicata,All Levels,Unemployment,8.6
Basilicata,Levels 0-2,Unemployment,9.1
Basilicata,Levels 3 - 4,Unemployment,8.5
Basilicata,Levels 5 - 8,Unemployment,8.2
Nouvelle-Aquitaine,All Levels,Unemployment,7.7
Nouvelle-Aquitaine,Levels 0-2,Unemployment,13.8
Nouvelle-Aquitaine,Levels 3 - 4,Unemployment,8.2
Nouvelle-Aquitaine,Levels 5 - 8,Unemployment,4.7
Berlin,All Levels,Unemployment,6.3
Berlin,Levels 0-2,Unemployment,18.6
Berlin,Levels 3 - 4,Unemployment,5.7
Berlin,Levels 5 - 8,Unemployment,3.7
Euro area - 19 countries  (from 2015),All Levels,Unemployment,7.9
Euro area - 19 countries  (from 2015),Levels 0-2,Unemployment,13.7
Euro area - 19 countries  (from 2015),Levels 3 - 4,Unemployment,7.5
Euro area - 19 countries  (from 2015),Levels 5 - 8,Unemployment,5.2
Beogradski region,All Levels,Unemployment,7.5
Beogradski region,Levels 0-2,Unemployment,12.7
Beogradski region,Levels 3 - 4,Unemployment,8.3
Beogradski region,Levels 5 - 8,Unemployment,5.8
Severna i yugoiztochna Bulgaria,All Levels,Unemployment,6.9
Severna i yugoiztochna Bulgaria,Levels 0-2,Unemployment,18.4
Severna i yugoiztochna Bulgaria,Levels 3 - 4,Unemployment,5.6
Severna i yugoiztochna Bulgaria,Levels 5 - 8,Unemployment,3.4
Occitanie,All Levels,Unemployment,7.2
Occitanie,Levels 0-2,Unemployment,14.3
Occitanie,Levels 3 - 4,Unemployment,8.1
Occitanie,Levels 5 - 8,Unemployment,4.5
Centru,All Levels,Unemployment,7.1
Centru,Levels 0-2,Unemployment,21.6
Centru,Levels 3 - 4,Unemployment,5.3
Centru,Levels 5 - 8,Unemployment,
Rhône-Alpes,All Levels,Unemployment,7.5
Rhône-Alpes,Levels 0-2,Unemployment,12.8
Rhône-Alpes,Levels 3 - 4,Unemployment,8.5
Rhône-Alpes,Levels 5 - 8,Unemployment,5.2
Liguria,All Levels,Unemployment,8.3
Liguria,Levels 0-2,Unemployment,14.1
Liguria,Levels 3 - 4,Unemployment,7.4
Liguria,Levels 5 - 8,Unemployment,4.1
Umbria,All Levels,Unemployment,8.2
Umbria,Levels 0-2,Unemployment,12.4
Umbria,Levels 3 - 4,Unemployment,7.5
Umbria,Levels 5 - 8,Unemployment,5.7
"Konya, Karaman",All Levels,Unemployment,7.8
"Konya, Karaman",Levels 0-2,Unemployment,6.7
"Konya, Karaman",Levels 3 - 4,Unemployment,8.2
"Konya, Karaman",Levels 5 - 8,Unemployment,10.4
Övre Norrland,All Levels,Unemployment,6.2
Övre Norrland,Levels 0-2,Unemployment,17.1
Övre Norrland,Levels 3 - 4,Unemployment,5.7
Övre Norrland,Levels 5 - 8,Unemployment,4
Région lémanique,All Levels,Unemployment,7.7
Région lémanique,Levels 0-2,Unemployment,11.4
Région lémanique,Levels 3 - 4,Unemployment,7.9
Région lémanique,Levels 5 - 8,Unemployment,6
"Balikesir, Çanakkale",All Levels,Unemployment,7.8
"Balikesir, Çanakkale",Levels 0-2,Unemployment,6.2
"Balikesir, Çanakkale",Levels 3 - 4,Unemployment,9.1
"Balikesir, Çanakkale",Levels 5 - 8,Unemployment,9.7
Észak-Alföld,All Levels,Unemployment,7.3
Észak-Alföld,Levels 0-2,Unemployment,16.1
Észak-Alföld,Levels 3 - 4,Unemployment,6.5
Észak-Alföld,Levels 5 - 8,Unemployment,2.8
Aquitaine,All Levels,Unemployment,7.3
Aquitaine,Levels 0-2,Unemployment,12.7
Aquitaine,Levels 3 - 4,Unemployment,7.2
Aquitaine,Levels 5 - 8,Unemployment,5.3
Eesti,All Levels,Unemployment,6.8
Eesti,Levels 0-2,Unemployment,13.4
Eesti,Levels 3 - 4,Unemployment,7.4
Eesti,Levels 5 - 8,Unemployment,4.8
Estonia,All Levels,Unemployment,6.8
Estonia,Levels 0-2,Unemployment,13.4
Estonia,Levels 3 - 4,Unemployment,7.4
Estonia,Levels 5 - 8,Unemployment,4.8
Auvergne - Rhône-Alpes,All Levels,Unemployment,7.2
Auvergne - Rhône-Alpes,Levels 0-2,Unemployment,12.2
Auvergne - Rhône-Alpes,Levels 3 - 4,Unemployment,7.9
Auvergne - Rhône-Alpes,Levels 5 - 8,Unemployment,5
Normandie,All Levels,Unemployment,7.4
Normandie,Levels 0-2,Unemployment,12.7
Normandie,Levels 3 - 4,Unemployment,8.1
Normandie,Levels 5 - 8,Unemployment,4.1
Srbija - sever,All Levels,Unemployment,7.6
Srbija - sever,Levels 0-2,Unemployment,10.9
Srbija - sever,Levels 3 - 4,Unemployment,8.1
Srbija - sever,Levels 5 - 8,Unemployment,5.6
Bourgogne - Franche-Comté,All Levels,Unemployment,6.9
Bourgogne - Franche-Comté,Levels 0-2,Unemployment,13.9
Bourgogne - Franche-Comté,Levels 3 - 4,Unemployment,7.2
Bourgogne - Franche-Comté,Levels 5 - 8,Unemployment,3.9
Centro (IT),All Levels,Unemployment,8
Centro (IT),Levels 0-2,Unemployment,10.7
Centro (IT),Levels 3 - 4,Unemployment,8.2
Centro (IT),Levels 5 - 8,Unemployment,5
Prov. Brabant wallon,All Levels,Unemployment,6.2
Prov. Brabant wallon,Levels 0-2,Unemployment,14
Prov. Brabant wallon,Levels 3 - 4,Unemployment,6.8
Prov. Brabant wallon,Levels 5 - 8,Unemployment,4.9
Lubelskie,All Levels,Unemployment,5.7
Lubelskie,Levels 0-2,Unemployment,16.8
Lubelskie,Levels 3 - 4,Unemployment,6.4
Lubelskie,Levels 5 - 8,Unemployment,2.9
European Union - 27 countries (from 2020),All Levels,Unemployment,7.1
European Union - 27 countries (from 2020),Levels 0-2,Unemployment,13.4
European Union - 27 countries (from 2020),Levels 3 - 4,Unemployment,6.5
European Union - 27 countries (from 2020),Levels 5 - 8,Unemployment,4.6
Área Metropolitana de Lisboa,All Levels,Unemployment,7.7
Área Metropolitana de Lisboa,Levels 0-2,Unemployment,9.2
Área Metropolitana de Lisboa,Levels 3 - 4,Unemployment,9
Área Metropolitana de Lisboa,Levels 5 - 8,Unemployment,5.7
Kontinentalna Hrvatska (NUTS 2016),All Levels,Unemployment,7.5
Kontinentalna Hrvatska (NUTS 2016),Levels 0-2,Unemployment,11.1
Kontinentalna Hrvatska (NUTS 2016),Levels 3 - 4,Unemployment,8.3
Kontinentalna Hrvatska (NUTS 2016),Levels 5 - 8,Unemployment,4.7
Croatia,All Levels,Unemployment,7.5
Croatia,Levels 0-2,Unemployment,10.2
Croatia,Levels 3 - 4,Unemployment,8.2
Croatia,Levels 5 - 8,Unemployment,5.4
Hrvatska,All Levels,Unemployment,7.5
Hrvatska,Levels 0-2,Unemployment,10.2
Hrvatska,Levels 3 - 4,Unemployment,8.2
Hrvatska,Levels 5 - 8,Unemployment,5.4
Region Vojvodine,All Levels,Unemployment,7.6
Region Vojvodine,Levels 0-2,Unemployment,10.2
Region Vojvodine,Levels 3 - 4,Unemployment,7.9
Region Vojvodine,Levels 5 - 8,Unemployment,5.3
Pays-de-la-Loire,All Levels,Unemployment,6.9
Pays-de-la-Loire,Levels 0-2,Unemployment,11.4
Pays-de-la-Loire,Levels 3 - 4,Unemployment,7.6
Pays-de-la-Loire,Levels 5 - 8,Unemployment,4.8
Cyprus,All Levels,Unemployment,7.6
Cyprus,Levels 0-2,Unemployment,7.3
Cyprus,Levels 3 - 4,Unemployment,8.5
Cyprus,Levels 5 - 8,Unemployment,7
Kypros,All Levels,Unemployment,7.6
Kypros,Levels 0-2,Unemployment,7.3
Kypros,Levels 3 - 4,Unemployment,8.5
Kypros,Levels 5 - 8,Unemployment,7
Prov. Namur,All Levels,Unemployment,6.1
Prov. Namur,Levels 0-2,Unemployment,14.1
Prov. Namur,Levels 3 - 4,Unemployment,7.1
Prov. Namur,Levels 5 - 8,Unemployment,3
Ticino,All Levels,Unemployment,6.6
Ticino,Levels 0-2,Unemployment,12.3
Ticino,Levels 3 - 4,Unemployment,6.8
Ticino,Levels 5 - 8,Unemployment,4.5
Severen tsentralen,All Levels,Unemployment,5.7
Severen tsentralen,Levels 0-2,Unemployment,19.3
Severen tsentralen,Levels 3 - 4,Unemployment,5
Severen tsentralen,Levels 5 - 8,Unemployment,
Luxembourg,All Levels,Unemployment,6.8
Luxembourg,Levels 0-2,Unemployment,11.4
Luxembourg,Levels 3 - 4,Unemployment,6.9
Luxembourg,Levels 5 - 8,Unemployment,4.7
Severoiztochen,All Levels,Unemployment,6.1
Severoiztochen,Levels 0-2,Unemployment,14.7
Severoiztochen,Levels 3 - 4,Unemployment,4.3
Severoiztochen,Levels 5 - 8,Unemployment,4.7
Bretagne,All Levels,Unemployment,6.7
Bretagne,Levels 0-2,Unemployment,10.7
Bretagne,Levels 3 - 4,Unemployment,7.2
Bretagne,Levels 5 - 8,Unemployment,5.1
Marche,All Levels,Unemployment,7.4
Marche,Levels 0-2,Unemployment,8.4
Marche,Levels 3 - 4,Unemployment,7.4
Marche,Levels 5 - 8,Unemployment,6.1
Piemonte,All Levels,Unemployment,7.5
Piemonte,Levels 0-2,Unemployment,10.2
Piemonte,Levels 3 - 4,Unemployment,7.2
Piemonte,Levels 5 - 8,Unemployment,4.3
Jadranska Hrvatska,All Levels,Unemployment,7.5
Jadranska Hrvatska,Levels 0-2,Unemployment,6.6
Jadranska Hrvatska,Levels 3 - 4,Unemployment,8
Jadranska Hrvatska,Levels 5 - 8,Unemployment,6.6
"Kastamonu, Çankiri, Sinop",All Levels,Unemployment,6.6
"Kastamonu, Çankiri, Sinop",Levels 0-2,Unemployment,5.4
"Kastamonu, Çankiri, Sinop",Levels 3 - 4,Unemployment,7.5
"Kastamonu, Çankiri, Sinop",Levels 5 - 8,Unemployment,9.2
Moravskoslezsko,All Levels,Unemployment,3.6
Moravskoslezsko,Levels 0-2,Unemployment,19.9
Moravskoslezsko,Levels 3 - 4,Unemployment,3.1
Moravskoslezsko,Levels 5 - 8,Unemployment,1.5
Hovedstaden,All Levels,Unemployment,6.1
Hovedstaden,Levels 0-2,Unemployment,11.2
Hovedstaden,Levels 3 - 4,Unemployment,5.8
Hovedstaden,Levels 5 - 8,Unemployment,4.9
Norte,All Levels,Unemployment,6.9
Norte,Levels 0-2,Unemployment,6.7
Norte,Levels 3 - 4,Unemployment,8
Norte,Levels 5 - 8,Unemployment,6.1
Continente,All Levels,Unemployment,6.9
Continente,Levels 0-2,Unemployment,6.5
Continente,Levels 3 - 4,Unemployment,8.3
Continente,Levels 5 - 8,Unemployment,5.9
Portugal,All Levels,Unemployment,6.9
Portugal,Levels 0-2,Unemployment,6.5
Portugal,Levels 3 - 4,Unemployment,8.4
Portugal,Levels 5 - 8,Unemployment,5.8
Belgium,All Levels,Unemployment,5.6
Belgium,Levels 0-2,Unemployment,12.1
Belgium,Levels 3 - 4,Unemployment,5.7
Belgium,Levels 5 - 8,Unemployment,3.4
Bucuresti - Ilfov,All Levels,Unemployment,4.7
Bucuresti - Ilfov,Levels 0-2,Unemployment,13.8
Bucuresti - Ilfov,Levels 3 - 4,Unemployment,6.2
Bucuresti - Ilfov,Levels 5 - 8,Unemployment,1.8
Algarve,All Levels,Unemployment,8.4
Algarve,Levels 0-2,Unemployment,9.1
Algarve,Levels 3 - 4,Unemployment,9
Algarve,Levels 5 - 8,Unemployment,
Franche-Comté,All Levels,Unemployment,5.6
Franche-Comté,Levels 0-2,Unemployment,12
Franche-Comté,Levels 3 - 4,Unemployment,4.9
Franche-Comté,Levels 5 - 8,Unemployment,4
Bulgaria,All Levels,Unemployment,5.1
Bulgaria,Levels 0-2,Unemployment,13.9
Bulgaria,Levels 3 - 4,Unemployment,4.7
Bulgaria,Levels 5 - 8,Unemployment,2.5
Dolnoslaskie,All Levels,Unemployment,3.1
Dolnoslaskie,Levels 0-2,Unemployment,18.3
Dolnoslaskie,Levels 3 - 4,Unemployment,3.3
Dolnoslaskie,Levels 5 - 8,Unemployment,1.5
Alföld és Észak,All Levels,Unemployment,5.8
Alföld és Észak,Levels 0-2,Unemployment,13
Alföld és Észak,Levels 3 - 4,Unemployment,5.2
Alföld és Észak,Levels 5 - 8,Unemployment,2.2
Austria,All Levels,Unemployment,5.4
Austria,Levels 0-2,Unemployment,12.3
Austria,Levels 3 - 4,Unemployment,5
Austria,Levels 5 - 8,Unemployment,3.4
Midi-Pyrénées,All Levels,Unemployment,5.6
Midi-Pyrénées,Levels 0-2,Unemployment,10.4
Midi-Pyrénées,Levels 3 - 4,Unemployment,6.7
Midi-Pyrénées,Levels 5 - 8,Unemployment,3.4
Vzhodna Slovenija,All Levels,Unemployment,5.5
Vzhodna Slovenija,Levels 0-2,Unemployment,10.9
Vzhodna Slovenija,Levels 3 - 4,Unemployment,5.9
Vzhodna Slovenija,Levels 5 - 8,Unemployment,3.8
Eastern and Midland,All Levels,Unemployment,5.8
Eastern and Midland,Levels 0-2,Unemployment,8.7
Eastern and Midland,Levels 3 - 4,Unemployment,7.1
Eastern and Midland,Levels 5 - 8,Unemployment,4.4
Oslo og Akershus (statistical region 2016),All Levels,Unemployment,5.1
Oslo og Akershus (statistical region 2016),Levels 0-2,Unemployment,11.8
Oslo og Akershus (statistical region 2016),Levels 3 - 4,Unemployment,5.7
Oslo og Akershus (statistical region 2016),Levels 5 - 8,Unemployment,3.2
Toscana,All Levels,Unemployment,6.6
Toscana,Levels 0-2,Unemployment,8.3
Toscana,Levels 3 - 4,Unemployment,6.7
Toscana,Levels 5 - 8,Unemployment,4.2
Sud-Est,All Levels,Unemployment,7.4
Sud-Est,Levels 0-2,Unemployment,11.2
Sud-Est,Levels 3 - 4,Unemployment,7.1
Sud-Est,Levels 5 - 8,Unemployment,
Southern,All Levels,Unemployment,5.8
Southern,Levels 0-2,Unemployment,8.9
Southern,Levels 3 - 4,Unemployment,7.1
Southern,Levels 5 - 8,Unemployment,3.7
Basse-Normandie,All Levels,Unemployment,6.1
Basse-Normandie,Levels 0-2,Unemployment,8.4
Basse-Normandie,Levels 3 - 4,Unemployment,7.1
Basse-Normandie,Levels 5 - 8,Unemployment,3.8
Macroregiunea unu,All Levels,Unemployment,5.3
Macroregiunea unu,Levels 0-2,Unemployment,13.2
Macroregiunea unu,Levels 3 - 4,Unemployment,4.5
Macroregiunea unu,Levels 5 - 8,Unemployment,2.4
Éire/Ireland,All Levels,Unemployment,5.7
Éire/Ireland,Levels 0-2,Unemployment,8.3
Éire/Ireland,Levels 3 - 4,Unemployment,6.9
Éire/Ireland,Levels 5 - 8,Unemployment,4.1
Ireland,All Levels,Unemployment,5.7
Ireland,Levels 0-2,Unemployment,8.3
Ireland,Levels 3 - 4,Unemployment,6.9
Ireland,Levels 5 - 8,Unemployment,4.1
Nordjylland,All Levels,Unemployment,5.8
Nordjylland,Levels 0-2,Unemployment,9.1
Nordjylland,Levels 3 - 4,Unemployment,4.5
Nordjylland,Levels 5 - 8,Unemployment,5.4
Slovenia,All Levels,Unemployment,5
Slovenia,Levels 0-2,Unemployment,11.1
Slovenia,Levels 3 - 4,Unemployment,5.5
Slovenia,Levels 5 - 8,Unemployment,3.1
Slovenija,All Levels,Unemployment,5
Slovenija,Levels 0-2,Unemployment,11.1
Slovenija,Levels 3 - 4,Unemployment,5.5
Slovenija,Levels 5 - 8,Unemployment,3.1
Danmark,All Levels,Unemployment,5.6
Danmark,Levels 0-2,Unemployment,9.4
Danmark,Levels 3 - 4,Unemployment,4.8
Danmark,Levels 5 - 8,Unemployment,4.7
Denmark,All Levels,Unemployment,5.6
Denmark,Levels 0-2,Unemployment,9.4
Denmark,Levels 3 - 4,Unemployment,4.8
Denmark,Levels 5 - 8,Unemployment,4.7
Auvergne,All Levels,Unemployment,5.5
Auvergne,Levels 0-2,Unemployment,9.5
Auvergne,Levels 3 - 4,Unemployment,5.3
Auvergne,Levels 5 - 8,Unemployment,4
Macroregiunea trei,All Levels,Unemployment,5.3
Macroregiunea trei,Levels 0-2,Unemployment,11.2
Macroregiunea trei,Levels 3 - 4,Unemployment,5.7
Macroregiunea trei,Levels 5 - 8,Unemployment,1.9
Kärnten,All Levels,Unemployment,4.7
Kärnten,Levels 0-2,Unemployment,11.6
Kärnten,Levels 3 - 4,Unemployment,4.4
Kärnten,Levels 5 - 8,Unemployment,3.3
Centro (PT),All Levels,Unemployment,5.7
Centro (PT),Levels 0-2,Unemployment,4
Centro (PT),Levels 3 - 4,Unemployment,8
Centro (PT),Levels 5 - 8,Unemployment,5.8
Düsseldorf,All Levels,Unemployment,4.7
Düsseldorf,Levels 0-2,Unemployment,12.2
Düsseldorf,Levels 3 - 4,Unemployment,3.8
Düsseldorf,Levels 5 - 8,Unemployment,2.8
Mazowiecki regionalny,All Levels,Unemployment,4.8
Mazowiecki regionalny,Levels 0-2,Unemployment,11
Mazowiecki regionalny,Levels 3 - 4,Unemployment,5
Mazowiecki regionalny,Levels 5 - 8,Unemployment,2.7
Nord-Ovest,All Levels,Unemployment,6
Nord-Ovest,Levels 0-2,Unemployment,8.2
Nord-Ovest,Levels 3 - 4,Unemployment,5.8
Nord-Ovest,Levels 5 - 8,Unemployment,3.5
Zahodna Slovenija,All Levels,Unemployment,4.4
Zahodna Slovenija,Levels 0-2,Unemployment,11.3
Zahodna Slovenija,Levels 3 - 4,Unemployment,5.1
Zahodna Slovenija,Levels 5 - 8,Unemployment,2.6
Midtjylland,All Levels,Unemployment,5.5
Midtjylland,Levels 0-2,Unemployment,8.1
Midtjylland,Levels 3 - 4,Unemployment,4.1
Midtjylland,Levels 5 - 8,Unemployment,5.7
Dél-Dunántúl,All Levels,Unemployment,5.3
Dél-Dunántúl,Levels 0-2,Unemployment,13.6
Dél-Dunántúl,Levels 3 - 4,Unemployment,4.4
Dél-Dunántúl,Levels 5 - 8,Unemployment,
Iceland,All Levels,Unemployment,5.5
Iceland,Levels 0-2,Unemployment,8.4
Iceland,Levels 3 - 4,Unemployment,5.5
Iceland,Levels 5 - 8,Unemployment,3.7
Ísland,All Levels,Unemployment,5.5
Ísland,Levels 0-2,Unemployment,8.4
Ísland,Levels 3 - 4,Unemployment,5.5
Ísland,Levels 5 - 8,Unemployment,3.7
Südösterreich,All Levels,Unemployment,4.5
Südösterreich,Levels 0-2,Unemployment,11.5
Südösterreich,Levels 3 - 4,Unemployment,4
Südösterreich,Levels 5 - 8,Unemployment,3
Makroregion Wschodni,All Levels,Unemployment,4.5
Makroregion Wschodni,Levels 0-2,Unemployment,10.5
Makroregion Wschodni,Levels 3 - 4,Unemployment,4.8
Makroregion Wschodni,Levels 5 - 8,Unemployment,3.1
Západné Slovensko,All Levels,Unemployment,4.7
Západné Slovensko,Levels 0-2,Unemployment,9.8
Západné Slovensko,Levels 3 - 4,Unemployment,4.8
Západné Slovensko,Levels 5 - 8,Unemployment,3.6
Groningen,All Levels,Unemployment,5.2
Groningen,Levels 0-2,Unemployment,9.1
Groningen,Levels 3 - 4,Unemployment,5.1
Groningen,Levels 5 - 8,Unemployment,3.5
Friuli-Venezia Giulia,All Levels,Unemployment,5.7
Friuli-Venezia Giulia,Levels 0-2,Unemployment,7.9
Friuli-Venezia Giulia,Levels 3 - 4,Unemployment,5.4
Friuli-Venezia Giulia,Levels 5 - 8,Unemployment,3.8
Nordwestschweiz,All Levels,Unemployment,4.8
Nordwestschweiz,Levels 0-2,Unemployment,9.8
Nordwestschweiz,Levels 3 - 4,Unemployment,4.8
Nordwestschweiz,Levels 5 - 8,Unemployment,3.4
Veneto,All Levels,Unemployment,5.8
Veneto,Levels 0-2,Unemployment,6.6
Veneto,Levels 3 - 4,Unemployment,6
Veneto,Levels 5 - 8,Unemployment,4.4
Emilia-Romagna,All Levels,Unemployment,5.7
Emilia-Romagna,Levels 0-2,Unemployment,7.8
Emilia-Romagna,Levels 3 - 4,Unemployment,5.8
Emilia-Romagna,Levels 5 - 8,Unemployment,3.4
Sjælland,All Levels,Unemployment,5.3
Sjælland,Levels 0-2,Unemployment,10
Sjælland,Levels 3 - 4,Unemployment,4.7
Sjælland,Levels 5 - 8,Unemployment,2.7
Steiermark,All Levels,Unemployment,4.4
Steiermark,Levels 0-2,Unemployment,11.4
Steiermark,Levels 3 - 4,Unemployment,3.8
Steiermark,Levels 5 - 8,Unemployment,2.9
Makroregion Poludniowo-Zachodni,All Levels,Unemployment,3.1
Makroregion Poludniowo-Zachodni,Levels 0-2,Unemployment,14.4
Makroregion Poludniowo-Zachodni,Levels 3 - 4,Unemployment,3.3
Makroregion Poludniowo-Zachodni,Levels 5 - 8,Unemployment,1.5
Nord-Est,All Levels,Unemployment,5.6
Nord-Est,Levels 0-2,Unemployment,7.2
Nord-Est,Levels 3 - 4,Unemployment,5.7
Nord-Est,Levels 5 - 8,Unemployment,3.8
Niederösterreich,All Levels,Unemployment,4.2
Niederösterreich,Levels 0-2,Unemployment,11.6
Niederösterreich,Levels 3 - 4,Unemployment,3.8
Niederösterreich,Levels 5 - 8,Unemployment,2.4
Yugozapaden,All Levels,Unemployment,3.6
Yugozapaden,Levels 0-2,Unemployment,12.4
Yugozapaden,Levels 3 - 4,Unemployment,4.2
Yugozapaden,Levels 5 - 8,Unemployment,1.6
Schweiz/Suisse/Svizzera,All Levels,Unemployment,4.8
Schweiz/Suisse/Svizzera,Levels 0-2,Unemployment,8.5
Schweiz/Suisse/Svizzera,Levels 3 - 4,Unemployment,5
Schweiz/Suisse/Svizzera,Levels 5 - 8,Unemployment,3.5
Switzerland,All Levels,Unemployment,4.8
Switzerland,Levels 0-2,Unemployment,8.5
Switzerland,Levels 3 - 4,Unemployment,5
Switzerland,Levels 5 - 8,Unemployment,3.5
Prov. Luxembourg (BE),All Levels,Unemployment,5.1
