GEO (Labels),Level ,Value Column Name,Value
Notio Aigaio,All Levels,Unemployment,16.7
Notio Aigaio,Levels 0-2,Unemployment,22.1
Notio Aigaio,Levels 3 - 4,Unemployment,15.1
Notio Aigaio,Levels 5 - 8,Unemployment,14.8
"Anatoliki Makedonia, Thraki",All Levels,Unemployment,17.2
"Anatoliki Makedonia, Thraki",Levels 0-2,Unemployment,17.3
"Anatoliki Makedonia, Thraki",Levels 3 - 4,Unemployment,17.7
"Anatoliki Makedonia, Thraki",Levels 5 - 8,Unemployment,16.3
Kentriki Ellada,All Levels,Unemployment,17.3
Kentriki Ellada,Levels 0-2,Unemployment,16.5
Kentriki Ellada,Levels 3 - 4,Unemployment,18.9
Kentriki Ellada,Levels 5 - 8,Unemployment,15.3
La Réunion,All Levels,Unemployment,17.4
La Réunion,Levels 0-2,Unemployment,21.9
La Réunion,Levels 3 - 4,Unemployment,20.7
La Réunion,Levels 5 - 8,Unemployment,8
RUP FR - Régions ultrapériphériques françaises,All Levels,Unemployment,17.3
RUP FR - Régions ultrapériphériques françaises,Levels 0-2,Unemployment,24.4
RUP FR - Régions ultrapériphériques françaises,Levels 3 - 4,Unemployment,18.6
RUP FR - Régions ultrapériphériques françaises,Levels 5 - 8,Unemployment,7.4
Sicilia,All Levels,Unemployment,17.9
Sicilia,Levels 0-2,Unemployment,23.3
Sicilia,Levels 3 - 4,Unemployment,17.3
Sicilia,Levels 5 - 8,Unemployment,9.2
North Macedonia,All Levels,Unemployment,16.4
North Macedonia,Levels 0-2,Unemployment,21.4
North Macedonia,Levels 3 - 4,Unemployment,16.2
North Macedonia,Levels 5 - 8,Unemployment,13.7
Severna Makedonija,All Levels,Unemployment,16.4
Severna Makedonija,Levels 0-2,Unemployment,21.4
Severna Makedonija,Levels 3 - 4,Unemployment,16.2
Severna Makedonija,Levels 5 - 8,Unemployment,13.7
Thessalia,All Levels,Unemployment,16.9
Thessalia,Levels 0-2,Unemployment,17.5
Thessalia,Levels 3 - 4,Unemployment,18.1
Thessalia,Levels 5 - 8,Unemployment,14.9
"Nisia Aigaiou, Kriti",All Levels,Unemployment,17
"Nisia Aigaiou, Kriti",Levels 0-2,Unemployment,18.1
"Nisia Aigaiou, Kriti",Levels 3 - 4,Unemployment,18.5
"Nisia Aigaiou, Kriti",Levels 5 - 8,Unemployment,13.7
Severozapaden,All Levels,Unemployment,13
Severozapaden,Levels 0-2,Unemployment,43.9
Severozapaden,Levels 3 - 4,Unemployment,10
Severozapaden,Levels 5 - 8,Unemployment,
Kriti,All Levels,Unemployment,17.3
Kriti,Levels 0-2,Unemployment,16
Kriti,Levels 3 - 4,Unemployment,20.4
Kriti,Levels 5 - 8,Unemployment,13.1
Greece,All Levels,Unemployment,16.3
Greece,Levels 0-2,Unemployment,19.1
Greece,Levels 3 - 4,Unemployment,18.5
Greece,Levels 5 - 8,Unemployment,12.1
Comunitat Valenciana,All Levels,Unemployment,16.2
Comunitat Valenciana,Levels 0-2,Unemployment,20.3
Comunitat Valenciana,Levels 3 - 4,Unemployment,17.4
Comunitat Valenciana,Levels 5 - 8,Unemployment,11.9
Voreio Aigaio,All Levels,Unemployment,16.5
Voreio Aigaio,Levels 0-2,Unemployment,17.6
Voreio Aigaio,Levels 3 - 4,Unemployment,17.9
Voreio Aigaio,Levels 5 - 8,Unemployment,13.7
Illes Balears,All Levels,Unemployment,16.1
Illes Balears,Levels 0-2,Unemployment,19.9
Illes Balears,Levels 3 - 4,Unemployment,19.4
Illes Balears,Levels 5 - 8,Unemployment,10.2
Región de Murcia,All Levels,Unemployment,16.2
Región de Murcia,Levels 0-2,Unemployment,19
Región de Murcia,Levels 3 - 4,Unemployment,18.4
Región de Murcia,Levels 5 - 8,Unemployment,11.4
Spain,All Levels,Unemployment,15.5
Spain,Levels 0-2,Unemployment,21.7
Spain,Levels 3 - 4,Unemployment,16.5
Spain,Levels 5 - 8,Unemployment,10.2
Centro (ES),All Levels,Unemployment,16.1
Centro (ES),Levels 0-2,Unemployment,21.5
Centro (ES),Levels 3 - 4,Unemployment,16.1
Centro (ES),Levels 5 - 8,Unemployment,10.1
Attiki,All Levels,Unemployment,14.1
Attiki,Levels 0-2,Unemployment,23.2
Attiki,Levels 3 - 4,Unemployment,16.3
Attiki,Levels 5 - 8,Unemployment,9.6
Isole,All Levels,Unemployment,16.6
Isole,Levels 0-2,Unemployment,21.5
Isole,Levels 3 - 4,Unemployment,16.3
Isole,Levels 5 - 8,Unemployment,8.2
"Hatay, Kahramanmaras, Osmaniye",All Levels,Unemployment,15.2
"Hatay, Kahramanmaras, Osmaniye",Levels 0-2,Unemployment,14.9
"Hatay, Kahramanmaras, Osmaniye",Levels 3 - 4,Unemployment,16.9
"Hatay, Kahramanmaras, Osmaniye",Levels 5 - 8,Unemployment,14.6
Ionia Nisia,All Levels,Unemployment,16
Ionia Nisia,Levels 0-2,Unemployment,18.2
Ionia Nisia,Levels 3 - 4,Unemployment,19.1
Ionia Nisia,Levels 5 - 8,Unemployment,8.2
Principado de Asturias,All Levels,Unemployment,14.1
Principado de Asturias,Levels 0-2,Unemployment,19.2
Principado de Asturias,Levels 3 - 4,Unemployment,17
Principado de Asturias,Levels 5 - 8,Unemployment,10
Sud,All Levels,Unemployment,15.6
Sud,Levels 0-2,Unemployment,20.6
Sud,Levels 3 - 4,Unemployment,14.4
Sud,Levels 5 - 8,Unemployment,9.4
Ankara,All Levels,Unemployment,14.8
Ankara,Levels 0-2,Unemployment,16.2
Ankara,Levels 3 - 4,Unemployment,16
Ankara,Levels 5 - 8,Unemployment,12.8
Istanbul,All Levels,Unemployment,14.7
Istanbul,Levels 0-2,Unemployment,14.5
Istanbul,Levels 3 - 4,Unemployment,17.7
Istanbul,Levels 5 - 8,Unemployment,12.9
Guyane,All Levels,Unemployment,16.1
Guyane,Levels 0-2,Unemployment,25.6
Guyane,Levels 3 - 4,Unemployment,17.2
Guyane,Levels 5 - 8,Unemployment,
Este (ES),All Levels,Unemployment,14.2
Este (ES),Levels 0-2,Unemployment,19.3
Este (ES),Levels 3 - 4,Unemployment,16
Este (ES),Levels 5 - 8,Unemployment,9.3
Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,All Levels,Unemployment,12.3
Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,Levels 0-2,Unemployment,25.5
Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,Levels 3 - 4,Unemployment,14.2
Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,Levels 5 - 8,Unemployment,6.8
"Adana, Mersin",All Levels,Unemployment,13.3
"Adana, Mersin",Levels 0-2,Unemployment,11.7
"Adana, Mersin",Levels 3 - 4,Unemployment,16.7
"Adana, Mersin",Levels 5 - 8,Unemployment,13.8
Akdeniz,All Levels,Unemployment,13.5
Akdeniz,Levels 0-2,Unemployment,12.7
Akdeniz,Levels 3 - 4,Unemployment,16
Akdeniz,Levels 5 - 8,Unemployment,12.9
Comunidad de Madrid,All Levels,Unemployment,12.5
Comunidad de Madrid,Levels 0-2,Unemployment,17.9
Comunidad de Madrid,Levels 3 - 4,Unemployment,15.3
Comunidad de Madrid,Levels 5 - 8,Unemployment,8.8
Sydsverige,All Levels,Unemployment,10.5
Sydsverige,Levels 0-2,Unemployment,29.1
Sydsverige,Levels 3 - 4,Unemployment,8
Sydsverige,Levels 5 - 8,Unemployment,6.3
Turkey,All Levels,Unemployment,13.2
Turkey,Levels 0-2,Unemployment,12.6
Turkey,Levels 3 - 4,Unemployment,15
Turkey,Levels 5 - 8,Unemployment,12.6
"Gaziantep, Adiyaman, Kilis",All Levels,Unemployment,13
"Gaziantep, Adiyaman, Kilis",Levels 0-2,Unemployment,12.3
"Gaziantep, Adiyaman, Kilis",Levels 3 - 4,Unemployment,14.4
"Gaziantep, Adiyaman, Kilis",Levels 5 - 8,Unemployment,13.6
Puglia,All Levels,Unemployment,14.1
Puglia,Levels 0-2,Unemployment,18
Puglia,Levels 3 - 4,Unemployment,13.4
Puglia,Levels 5 - 8,Unemployment,7.6
Cataluña,All Levels,Unemployment,12.6
Cataluña,Levels 0-2,Unemployment,18.5
Cataluña,Levels 3 - 4,Unemployment,14.3
Cataluña,Levels 5 - 8,Unemployment,7.6
Noroeste (ES),All Levels,Unemployment,12.5
Noroeste (ES),Levels 0-2,Unemployment,16
Noroeste (ES),Levels 3 - 4,Unemployment,13.9
Noroeste (ES),Levels 5 - 8,Unemployment,9.5
Bati Anadolu,All Levels,Unemployment,12.8
Bati Anadolu,Levels 0-2,Unemployment,12.4
Bati Anadolu,Levels 3 - 4,Unemployment,14.2
Bati Anadolu,Levels 5 - 8,Unemployment,12.4
"Kayseri, Sivas, Yozgat",All Levels,Unemployment,12.7
"Kayseri, Sivas, Yozgat",Levels 0-2,Unemployment,12.4
"Kayseri, Sivas, Yozgat",Levels 3 - 4,Unemployment,13.7
"Kayseri, Sivas, Yozgat",Levels 5 - 8,Unemployment,12.5
Cantabria,All Levels,Unemployment,12.2
Cantabria,Levels 0-2,Unemployment,17.7
Cantabria,Levels 3 - 4,Unemployment,12
Cantabria,Levels 5 - 8,Unemployment,8.9
Ege,All Levels,Unemployment,12.4
Ege,Levels 0-2,Unemployment,11.6
Ege,Levels 3 - 4,Unemployment,14
Ege,Levels 5 - 8,Unemployment,12.8
Orta Anadolu,All Levels,Unemployment,12.4
Orta Anadolu,Levels 0-2,Unemployment,11.5
Orta Anadolu,Levels 3 - 4,Unemployment,14.4
Orta Anadolu,Levels 5 - 8,Unemployment,12.5
"Agri, Kars, Igdir, Ardahan",All Levels,Unemployment,11.5
"Agri, Kars, Igdir, Ardahan",Levels 0-2,Unemployment,10.1
"Agri, Kars, Igdir, Ardahan",Levels 3 - 4,Unemployment,14
"Agri, Kars, Igdir, Ardahan",Levels 5 - 8,Unemployment,14.6
"Kirikkale, Aksaray, Nigde, Nevsehir, Kirsehir",All Levels,Unemployment,11.9
"Kirikkale, Aksaray, Nigde, Nevsehir, Kirsehir",Levels 0-2,Unemployment,10.3
"Kirikkale, Aksaray, Nigde, Nevsehir, Kirsehir",Levels 3 - 4,Unemployment,15.5
"Kirikkale, Aksaray, Nigde, Nevsehir, Kirsehir",Levels 5 - 8,Unemployment,12.5
Wien,All Levels,Unemployment,10.7
Wien,Levels 0-2,Unemployment,21.7
Wien,Levels 3 - 4,Unemployment,12.1
Wien,Levels 5 - 8,Unemployment,5.7
Sardegna,All Levels,Unemployment,13.3
Sardegna,Levels 0-2,Unemployment,17.1
Sardegna,Levels 3 - 4,Unemployment,13.6
Sardegna,Levels 5 - 8,Unemployment,6
"Antalya, Isparta, Burdur",All Levels,Unemployment,12.2
"Antalya, Isparta, Burdur",Levels 0-2,Unemployment,11.8
"Antalya, Isparta, Burdur",Levels 3 - 4,Unemployment,14.6
"Antalya, Isparta, Burdur",Levels 5 - 8,Unemployment,10.9
Galicia,All Levels,Unemployment,12
Galicia,Levels 0-2,Unemployment,14.8
Galicia,Levels 3 - 4,Unemployment,13.1
Galicia,Levels 5 - 8,Unemployment,9.4
Castilla y León,All Levels,Unemployment,12.1
Castilla y León,Levels 0-2,Unemployment,17
Castilla y León,Levels 3 - 4,Unemployment,12
Castilla y León,Levels 5 - 8,Unemployment,8.1
Östra Mellansverige,All Levels,Unemployment,9.4
Östra Mellansverige,Levels 0-2,Unemployment,28.2
Östra Mellansverige,Levels 3 - 4,Unemployment,6.7
Östra Mellansverige,Levels 5 - 8,Unemployment,4.9
Martinique,All Levels,Unemployment,12.4
Martinique,Levels 0-2,Unemployment,13.8
Martinique,Levels 3 - 4,Unemployment,16
Martinique,Levels 5 - 8,Unemployment,6.9
Champagne-Ardenne,All Levels,Unemployment,11.7
Champagne-Ardenne,Levels 0-2,Unemployment,18.9
Champagne-Ardenne,Levels 3 - 4,Unemployment,12.3
Champagne-Ardenne,Levels 5 - 8,Unemployment,5.9
"Kocaeli, Sakarya, Düzce, Bolu, Yalova",All Levels,Unemployment,12.2
"Kocaeli, Sakarya, Düzce, Bolu, Yalova",Levels 0-2,Unemployment,12.4
"Kocaeli, Sakarya, Düzce, Bolu, Yalova",Levels 3 - 4,Unemployment,11.4
"Kocaeli, Sakarya, Düzce, Bolu, Yalova",Levels 5 - 8,Unemployment,12.6
Aragón,All Levels,Unemployment,11.7
Aragón,Levels 0-2,Unemployment,17.5
Aragón,Levels 3 - 4,Unemployment,11.6
Aragón,Levels 5 - 8,Unemployment,7.8
Vidurio ir vakaru Lietuvos regionas,All Levels,Unemployment,9.3
Vidurio ir vakaru Lietuvos regionas,Levels 0-2,Unemployment,22.3
Vidurio ir vakaru Lietuvos regionas,Levels 3 - 4,Unemployment,11.5
Vidurio ir vakaru Lietuvos regionas,Levels 5 - 8,Unemployment,4.7
Slovakia,All Levels,Unemployment,6.7
Slovakia,Levels 0-2,Unemployment,30.6
Slovakia,Levels 3 - 4,Unemployment,6.3
Slovakia,Levels 5 - 8,Unemployment,3.5
Slovensko,All Levels,Unemployment,6.7
Slovensko,Levels 0-2,Unemployment,30.6
Slovensko,Levels 3 - 4,Unemployment,6.3
Slovensko,Levels 5 - 8,Unemployment,3.5
Lietuva,All Levels,Unemployment,8.5
Lietuva,Levels 0-2,Unemployment,22.8
Lietuva,Levels 3 - 4,Unemployment,11.4
Lietuva,Levels 5 - 8,Unemployment,4.1
Lithuania,All Levels,Unemployment,8.5
Lithuania,Levels 0-2,Unemployment,22.8
Lithuania,Levels 3 - 4,Unemployment,11.4
Lithuania,Levels 5 - 8,Unemployment,4.1
Sostines regionas,All Levels,Unemployment,6.8
Sostines regionas,Levels 0-2,Unemployment,25
Sostines regionas,Levels 3 - 4,Unemployment,11.3
Sostines regionas,Levels 5 - 8,Unemployment,3.2
Region Juzne i Istocne Srbije,All Levels,Unemployment,11.7
Region Juzne i Istocne Srbije,Levels 0-2,Unemployment,11.6
Region Juzne i Istocne Srbije,Levels 3 - 4,Unemployment,12.1
Region Juzne i Istocne Srbije,Levels 5 - 8,Unemployment,10.8
Kuzeydogu Anadolu,All Levels,Unemployment,10.8
Kuzeydogu Anadolu,Levels 0-2,Unemployment,9.3
Kuzeydogu Anadolu,Levels 3 - 4,Unemployment,13.3
Kuzeydogu Anadolu,Levels 5 - 8,Unemployment,12.5
Stredné Slovensko,All Levels,Unemployment,6.7
Stredné Slovensko,Levels 0-2,Unemployment,29
Stredné Slovensko,Levels 3 - 4,Unemployment,6.2
Stredné Slovensko,Levels 5 - 8,Unemployment,3.7
Östra Sverige,All Levels,Unemployment,8.3
Östra Sverige,Levels 0-2,Unemployment,25.5
Östra Sverige,Levels 3 - 4,Unemployment,6.6
Östra Sverige,Levels 5 - 8,Unemployment,4.7
Noreste (ES),All Levels,Unemployment,10.4
Noreste (ES),Levels 0-2,Unemployment,16.7
Noreste (ES),Levels 3 - 4,Unemployment,10.9
Noreste (ES),Levels 5 - 8,Unemployment,7
Södra Sverige,All Levels,Unemployment,8.6
Södra Sverige,Levels 0-2,Unemployment,25.2
Södra Sverige,Levels 3 - 4,Unemployment,6.2
Södra Sverige,Levels 5 - 8,Unemployment,5
La Rioja,All Levels,Unemployment,10.8
La Rioja,Levels 0-2,Unemployment,14.2
La Rioja,Levels 3 - 4,Unemployment,11.7
La Rioja,Levels 5 - 8,Unemployment,7.3
Sweden,All Levels,Unemployment,8.3
Sweden,Levels 0-2,Unemployment,24.6
Sweden,Levels 3 - 4,Unemployment,6.3
Sweden,Levels 5 - 8,Unemployment,4.7
Peloponnisos,All Levels,Unemployment,11.4
Peloponnisos,Levels 0-2,Unemployment,10.8
Peloponnisos,Levels 3 - 4,Unemployment,13.3
Peloponnisos,Levels 5 - 8,Unemployment,8.3
Pohjois- ja Itä-Suomi,All Levels,Unemployment,8.8
Pohjois- ja Itä-Suomi,Levels 0-2,Unemployment,20.2
Pohjois- ja Itä-Suomi,Levels 3 - 4,Unemployment,10
Pohjois- ja Itä-Suomi,Levels 5 - 8,Unemployment,4.7
Dogu Marmara,All Levels,Unemployment,10.9
Dogu Marmara,Levels 0-2,Unemployment,10.9
Dogu Marmara,Levels 3 - 4,Unemployment,11.2
Dogu Marmara,Levels 5 - 8,Unemployment,10.6
"Malatya, Elazig, Bingöl, Tunceli",All Levels,Unemployment,10.6
"Malatya, Elazig, Bingöl, Tunceli",Levels 0-2,Unemployment,9.3
"Malatya, Elazig, Bingöl, Tunceli",Levels 3 - 4,Unemployment,13.2
"Malatya, Elazig, Bingöl, Tunceli",Levels 5 - 8,Unemployment,10.5
Comunidad Foral de Navarra,All Levels,Unemployment,10.1
Comunidad Foral de Navarra,Levels 0-2,Unemployment,16.5
Comunidad Foral de Navarra,Levels 3 - 4,Unemployment,9.8
Comunidad Foral de Navarra,Levels 5 - 8,Unemployment,7.1
País Vasco,All Levels,Unemployment,9.5
País Vasco,Levels 0-2,Unemployment,16.7
País Vasco,Levels 3 - 4,Unemployment,10.6
País Vasco,Levels 5 - 8,Unemployment,6.6
"Erzurum, Erzincan, Bayburt",All Levels,Unemployment,10.1
"Erzurum, Erzincan, Bayburt",Levels 0-2,Unemployment,8.3
"Erzurum, Erzincan, Bayburt",Levels 3 - 4,Unemployment,12.9
"Erzurum, Erzincan, Bayburt",Levels 5 - 8,Unemployment,11.2
Languedoc-Roussillon,All Levels,Unemployment,9.2
