Column2,Year,Value Column Name,Value
DALLAS MAVERICKS,2020,Lebron,35
DENVER NUGGETS,All,Lebron,907
DENVER NUGGETS,2003,Lebron,26
DENVER NUGGETS,2004,Lebron,17
DENVER NUGGETS,2005,Lebron,61
DENVER NUGGETS,2006,Lebron,24
DENVER NUGGETS,2007,Lebron,75
DENVER NUGGETS,2008,Lebron,85
DENVER NUGGETS,2009,Lebron,
DENVER NUGGETS,2010,Lebron,78
DENVER NUGGETS,2011,Lebron,33
DENVER NUGGETS,2012,Lebron,82
DENVER NUGGETS,2013,Lebron,26
DENVER NUGGETS,2014,Lebron,65
DENVER NUGGETS,2015,Lebron,34
DENVER NUGGETS,2016,Lebron,33
DENVER NUGGETS,2017,Lebron,45
DENVER NUGGETS,2018,Lebron,106
DENVER NUGGETS,2019,Lebron,56
DENVER NUGGETS,2020,Lebron,61
DETROIT PISTONS,All,Lebron,1338
DETROIT PISTONS,2003,Lebron,29
DETROIT PISTONS,2004,Lebron,81
DETROIT PISTONS,2005,Lebron,96
DETROIT PISTONS,2006,Lebron,96
DETROIT PISTONS,2007,Lebron,97
DETROIT PISTONS,2008,Lebron,68
DETROIT PISTONS,2009,Lebron,112
DETROIT PISTONS,2010,Lebron,102
DETROIT PISTONS,2011,Lebron,74
DETROIT PISTONS,2012,Lebron,110
DETROIT PISTONS,2013,Lebron,99
DETROIT PISTONS,2014,Lebron,58
DETROIT PISTONS,2015,Lebron,102
DETROIT PISTONS,2016,Lebron,53
DETROIT PISTONS,2017,Lebron,63
DETROIT PISTONS,2018,Lebron,77
DETROIT PISTONS,2019,Lebron,
DETROIT PISTONS,2020,Lebron,21
GOLDEN STATE WARRIORS,All,Lebron,817
GOLDEN STATE WARRIORS,2003,Lebron,
GOLDEN STATE WARRIORS,2004,Lebron,96
GOLDEN STATE WARRIORS,2005,Lebron,28
GOLDEN STATE WARRIORS,2006,Lebron,47
GOLDEN STATE WARRIORS,2007,Lebron,81
GOLDEN STATE WARRIORS,2008,Lebron,23
GOLDEN STATE WARRIORS,2009,Lebron,63
GOLDEN STATE WARRIORS,2010,Lebron,62
GOLDEN STATE WARRIORS,2011,Lebron,25
GOLDEN STATE WARRIORS,2012,Lebron,57
GOLDEN STATE WARRIORS,2013,Lebron,25
GOLDEN STATE WARRIORS,2014,Lebron,62
GOLDEN STATE WARRIORS,2015,Lebron,67
GOLDEN STATE WARRIORS,2016,Lebron,47
GOLDEN STATE WARRIORS,2017,Lebron,40
GOLDEN STATE WARRIORS,2018,Lebron,49
GOLDEN STATE WARRIORS,2019,Lebron,23
GOLDEN STATE WARRIORS,2020,Lebron,22
HOUSTON ROCKETS,All,Lebron,814
HOUSTON ROCKETS,2003,Lebron,17
HOUSTON ROCKETS,2004,Lebron,14
HOUSTON ROCKETS,2005,Lebron,19
HOUSTON ROCKETS,2006,Lebron,89
HOUSTON ROCKETS,2007,Lebron,32
HOUSTON ROCKETS,2008,Lebron,85
HOUSTON ROCKETS,2009,Lebron,77
HOUSTON ROCKETS,2010,Lebron,20
HOUSTON ROCKETS,2011,Lebron,33
HOUSTON ROCKETS,2012,Lebron,70
HOUSTON ROCKETS,2013,Lebron,32
HOUSTON ROCKETS,2014,Lebron,46
HOUSTON ROCKETS,2015,Lebron,37
HOUSTON ROCKETS,2016,Lebron,38
HOUSTON ROCKETS,2017,Lebron,63
HOUSTON ROCKETS,2018,Lebron,64
HOUSTON ROCKETS,2019,Lebron,29
HOUSTON ROCKETS,2020,Lebron,49
INDIANA PACERS,All,Lebron,1585
INDIANA PACERS,2003,Lebron,72
INDIANA PACERS,2004,Lebron,54
INDIANA PACERS,2005,Lebron,109
INDIANA PACERS,2006,Lebron,110
INDIANA PACERS,2007,Lebron,99
INDIANA PACERS,2008,Lebron,107
INDIANA PACERS,2009,Lebron,124
INDIANA PACERS,2010,Lebron,79
INDIANA PACERS,2011,Lebron,68
INDIANA PACERS,2012,Lebron,107
INDIANA PACERS,2013,Lebron,104
INDIANA PACERS,2014,Lebron,93
INDIANA PACERS,2015,Lebron,83
INDIANA PACERS,2016,Lebron,57
INDIANA PACERS,2017,Lebron,159
INDIANA PACERS,2018,Lebron,91
INDIANA PACERS,2019,Lebron,38
INDIANA PACERS,2020,Lebron,31
LOS ANGELES CLIPPERS,All,Lebron,821
LOS ANGELES CLIPPERS,2003,Lebron,18
LOS ANGELES CLIPPERS,2004,Lebron,22
LOS ANGELES CLIPPERS,2005,Lebron,80
LOS ANGELES CLIPPERS,2006,Lebron,
LOS ANGELES CLIPPERS,2007,Lebron,61
LOS ANGELES CLIPPERS,2008,Lebron,28
LOS ANGELES CLIPPERS,2009,Lebron,57
LOS ANGELES CLIPPERS,2010,Lebron,64
LOS ANGELES CLIPPERS,2011,Lebron,39
LOS ANGELES CLIPPERS,2012,Lebron,53
LOS ANGELES CLIPPERS,2013,Lebron,48
LOS ANGELES CLIPPERS,2014,Lebron,31
LOS ANGELES CLIPPERS,2015,Lebron,55
LOS ANGELES CLIPPERS,2016,Lebron,65
LOS ANGELES CLIPPERS,2017,Lebron,39
LOS ANGELES CLIPPERS,2018,Lebron,25
LOS ANGELES CLIPPERS,2019,Lebron,92
LOS ANGELES CLIPPERS,2020,Lebron,44
LOS ANGELES LAKERS,All,Lebron,829
LOS ANGELES LAKERS,2003,Lebron,
LOS ANGELES LAKERS,2004,Lebron,48
LOS ANGELES LAKERS,2005,Lebron,53
LOS ANGELES LAKERS,2006,Lebron,57
LOS ANGELES LAKERS,2007,Lebron,89
LOS ANGELES LAKERS,2008,Lebron,41
LOS ANGELES LAKERS,2009,Lebron,65
LOS ANGELES LAKERS,2010,Lebron,64
LOS ANGELES LAKERS,2011,Lebron,19
LOS ANGELES LAKERS,2012,Lebron,56
LOS ANGELES LAKERS,2013,Lebron,90
LOS ANGELES LAKERS,2014,Lebron,27
LOS ANGELES LAKERS,2015,Lebron,58
LOS ANGELES LAKERS,2016,Lebron,79
LOS ANGELES LAKERS,2017,Lebron,59
LOS ANGELES LAKERS,2018,Lebron,24
LOS ANGELES LAKERS,2019,Lebron,
LOS ANGELES LAKERS,2020,Lebron,
MEMPHIS GRIZZLIES,All,Lebron,884
MEMPHIS GRIZZLIES,2003,Lebron,33
MEMPHIS GRIZZLIES,2004,Lebron,45
MEMPHIS GRIZZLIES,2005,Lebron,79
MEMPHIS GRIZZLIES,2006,Lebron,15
MEMPHIS GRIZZLIES,2007,Lebron,29
MEMPHIS GRIZZLIES,2008,Lebron,76
MEMPHIS GRIZZLIES,2009,Lebron,88
MEMPHIS GRIZZLIES,2010,Lebron,51
MEMPHIS GRIZZLIES,2011,Lebron,27
MEMPHIS GRIZZLIES,2012,Lebron,41
MEMPHIS GRIZZLIES,2013,Lebron,18
MEMPHIS GRIZZLIES,2014,Lebron,77
MEMPHIS GRIZZLIES,2015,Lebron,32
MEMPHIS GRIZZLIES,2016,Lebron,51
MEMPHIS GRIZZLIES,2017,Lebron,34
MEMPHIS GRIZZLIES,2018,Lebron,60
MEMPHIS GRIZZLIES,2019,Lebron,77
MEMPHIS GRIZZLIES,2020,Lebron,51
MIAMI HEAT,All,Lebron,1127
MIAMI HEAT,2003,Lebron,18
MIAMI HEAT,2004,Lebron,82
MIAMI HEAT,2005,Lebron,95
MIAMI HEAT,2006,Lebron,123
MIAMI HEAT,2007,Lebron,135
MIAMI HEAT,2008,Lebron,112
MIAMI HEAT,2009,Lebron,90
MIAMI HEAT,2010,Lebron,68
MIAMI HEAT,2011,Lebron,
MIAMI HEAT,2012,Lebron,
