Rank,Name,Country,Source,Value Column Name,Value
15,Ma Huateng,All,,Children,
15,Ma Huateng,China,,NetWorth,
15,Ma Huateng,China,,Age,
15,Ma Huateng,China,,Children,
15,Ma Huateng,China,,NetWorth,65.8
15,Ma Huateng,China,,Age,49
15,Ma Huateng,China,,Children,
16,All,All,,NetWorth,
16,All,All,,Age,
16,All,All,,Children,
16,Carlos Slim Helu & family,All,,NetWorth,
16,Carlos Slim Helu & family,All,,Age,
16,Carlos Slim Helu & family,All,,Children,
16,Carlos Slim Helu & family,Mexico,,NetWorth,
16,Carlos Slim Helu & family,Mexico,,Age,
16,Carlos Slim Helu & family,Mexico,,Children,
16,Carlos Slim Helu & family,Mexico,,NetWorth,62.8
16,Carlos Slim Helu & family,Mexico,,Age,81
16,Carlos Slim Helu & family,Mexico,,Children,6
17,All,All,,NetWorth,
17,All,All,,Age,
17,All,All,,Children,
17,Alice Walton,All,,NetWorth,
17,Alice Walton,All,,Age,
17,Alice Walton,All,,Children,
17,Alice Walton,United States,,NetWorth,
17,Alice Walton,United States,,Age,
17,Alice Walton,United States,,Children,
17,Alice Walton,United States,,NetWorth,61.8
17,Alice Walton,United States,,Age,71
17,Alice Walton,United States,,Children,
18,All,All,,NetWorth,
18,All,All,,Age,
18,All,All,,Children,
18,Jim Walton,All,,NetWorth,
18,Jim Walton,All,,Age,
18,Jim Walton,All,,Children,
18,Jim Walton,United States,,NetWorth,
18,Jim Walton,United States,,Age,
18,Jim Walton,United States,,Children,
18,Jim Walton,United States,,NetWorth,60.2
18,Jim Walton,United States,,Age,72
18,Jim Walton,United States,,Children,4
19,All,All,,NetWorth,
19,All,All,,Age,
19,All,All,,Children,
19,Rob Walton,All,,NetWorth,
19,Rob Walton,All,,Age,
19,Rob Walton,All,,Children,
19,Rob Walton,United States,,NetWorth,
19,Rob Walton,United States,,Age,
19,Rob Walton,United States,,Children,
19,Rob Walton,United States,,NetWorth,59.5
19,Rob Walton,United States,,Age,76
19,Rob Walton,United States,,Children,3
20,All,All,,NetWorth,
20,All,All,,Age,
20,All,All,,Children,
20,Michael Bloomberg,All,,NetWorth,
20,Michael Bloomberg,All,,Age,
20,Michael Bloomberg,All,,Children,
20,Michael Bloomberg,United States,,NetWorth,
20,Michael Bloomberg,United States,,Age,
20,Michael Bloomberg,United States,,Children,
20,Michael Bloomberg,United States,,NetWorth,59
20,Michael Bloomberg,United States,,Age,79
20,Michael Bloomberg,United States,,Children,2
21,All,All,,NetWorth,
21,All,All,,Age,
21,All,All,,Children,
21,Colin Zheng Huang,All,,NetWorth,
21,Colin Zheng Huang,All,,Age,
21,Colin Zheng Huang,All,,Children,
21,Colin Zheng Huang,China,,NetWorth,
21,Colin Zheng Huang,China,,Age,
21,Colin Zheng Huang,China,,Children,
21,Colin Zheng Huang,China,,NetWorth,55.3
21,Colin Zheng Huang,China,,Age,41
21,Colin Zheng Huang,China,,Children,
22,All,All,,NetWorth,
22,All,All,,Age,
22,All,All,,Children,
22,MacKenzie Scott,All,,NetWorth,
22,MacKenzie Scott,All,,Age,
22,MacKenzie Scott,All,,Children,
22,MacKenzie Scott,United States,,NetWorth,
22,MacKenzie Scott,United States,,Age,
22,MacKenzie Scott,United States,,Children,
22,MacKenzie Scott,United States,,NetWorth,53
22,MacKenzie Scott,United States,,Age,51
22,MacKenzie Scott,United States,,Children,4
23,All,All,,NetWorth,
23,All,All,,Age,
23,All,All,,Children,
23,Daniel Gilbert,All,,NetWorth,
23,Daniel Gilbert,All,,Age,
23,Daniel Gilbert,All,,Children,
23,Daniel Gilbert,United States,,NetWorth,
23,Daniel Gilbert,United States,,Age,
23,Daniel Gilbert,United States,,Children,
23,Daniel Gilbert,United States,,NetWorth,51.9
23,Daniel Gilbert,United States,,Age,59
23,Daniel Gilbert,United States,,Children,5
24,All,All,,NetWorth,
24,All,All,,Age,
24,All,All,,Children,
24,Gautam Adani & family,All,,NetWorth,
24,Gautam Adani & family,All,,Age,
24,Gautam Adani & family,All,,Children,
24,Gautam Adani & family,India,,NetWorth,
24,Gautam Adani & family,India,,Age,
24,Gautam Adani & family,India,,Children,
24,Gautam Adani & family,India,,NetWorth,50.5
24,Gautam Adani & family,India,,Age,58
24,Gautam Adani & family,India,,Children,2
25,All,All,,NetWorth,
25,All,All,,Age,
25,All,All,,Children,
25,Phil Knight & family,All,,NetWorth,
25,Phil Knight & family,All,,Age,
25,Phil Knight & family,All,,Children,
25,Phil Knight & family,United States,,NetWorth,
25,Phil Knight & family,United States,,Age,
25,Phil Knight & family,United States,,Children,
25,Phil Knight & family,United States,,NetWorth,49.9
25,Phil Knight & family,United States,,Age,83
25,Phil Knight & family,United States,,Children,3
26,All,All,,NetWorth,
26,All,All,,Age,
26,All,All,,Children,
26,Jack Ma,All,,NetWorth,
26,Jack Ma,All,,Age,
26,Jack Ma,All,,Children,
26,Jack Ma,China,,NetWorth,
26,Jack Ma,China,,Age,
26,Jack Ma,China,,Children,
26,Jack Ma,China,,NetWorth,48.4
26,Jack Ma,China,,Age,56
26,Jack Ma,China,,Children,
27,All,All,,NetWorth,
27,All,All,,Age,
27,All,All,,Children,
27,Charles Koch,All,,NetWorth,
27,Charles Koch,All,,Age,
27,Charles Koch,All,,Children,
27,Charles Koch,United States,,NetWorth,
27,Charles Koch,United States,,Age,
27,Charles Koch,United States,,Children,
27,Charles Koch,United States,,NetWorth,46.4
27,Charles Koch,United States,,Age,85
27,Charles Koch,United States,,Children,2
27,Julia Koch & family,All,,NetWorth,
27,Julia Koch & family,All,,Age,
27,Julia Koch & family,All,,Children,
27,Julia Koch & family,United States,,NetWorth,
27,Julia Koch & family,United States,,Age,
27,Julia Koch & family,United States,,Children,
27,Julia Koch & family,United States,,NetWorth,46.4
27,Julia Koch & family,United States,,Age,59
27,Julia Koch & family,United States,,Children,3
29,All,All,,NetWorth,
29,All,All,,Age,
29,All,All,,Children,
29,Masayoshi Son,All,,NetWorth,
29,Masayoshi Son,All,,Age,
29,Masayoshi Son,All,,Children,
29,Masayoshi Son,Japan,,NetWorth,
29,Masayoshi Son,Japan,,Age,
29,Masayoshi Son,Japan,,Children,
29,Masayoshi Son,Japan,,NetWorth,45.4
29,Masayoshi Son,Japan,,Age,63
29,Masayoshi Son,Japan,,Children,2
30,All,All,,NetWorth,
30,All,All,,Age,
30,All,All,,Children,
30,Michael Dell,All,,NetWorth,
30,Michael Dell,All,,Age,
30,Michael Dell,All,,Children,
30,Michael Dell,United States,,NetWorth,
30,Michael Dell,United States,,Age,
30,Michael Dell,United States,,Children,
30,Michael Dell,United States,,NetWorth,45.1
30,Michael Dell,United States,,Age,56
30,Michael Dell,United States,,Children,4
31,All,All,,NetWorth,
31,All,All,,Age,
31,All,All,,Children,
31,Tadashi Yanai & family,All,,NetWorth,
31,Tadashi Yanai & family,All,,Age,
31,Tadashi Yanai & family,All,,Children,
31,Tadashi Yanai & family,Japan,,NetWorth,
31,Tadashi Yanai & family,Japan,,Age,
31,Tadashi Yanai & family,Japan,,Children,
31,Tadashi Yanai & family,Japan,,NetWorth,44.1
31,Tadashi Yanai & family,Japan,,Age,72
31,Tadashi Yanai & family,Japan,,Children,2
32,All,All,,NetWorth,
32,All,All,,Age,
32,All,All,,Children,
32,Fran̤ois Pinault & family,All,,NetWorth,
32,Fran̤ois Pinault & family,All,,Age,
32,Fran̤ois Pinault & family,All,,Children,
32,Fran̤ois Pinault & family,France,,NetWorth,
32,Fran̤ois Pinault & family,France,,Age,
32,Fran̤ois Pinault & family,France,,Children,
32,Fran̤ois Pinault & family,France,,NetWorth,42.3
32,Fran̤ois Pinault & family,France,,Age,84
32,Fran̤ois Pinault & family,France,,Children,3
33,All,All,,NetWorth,
33,All,All,,Age,
33,All,All,,Children,
33,David Thomson & family,All,,NetWorth,
33,David Thomson & family,All,,Age,
33,David Thomson & family,All,,Children,
33,David Thomson & family,Canada,,NetWorth,
33,David Thomson & family,Canada,,Age,
33,David Thomson & family,Canada,,Children,
33,David Thomson & family,Canada,,NetWorth,41.8
33,David Thomson & family,Canada,,Age,63
33,David Thomson & family,Canada,,Children,4
34,All,All,,NetWorth,
34,All,All,,Age,
34,All,All,,Children,
34,Beate Heister & Karl Albrecht Jr.,All,,NetWorth,
34,Beate Heister & Karl Albrecht Jr.,All,,Age,
34,Beate Heister & Karl Albrecht Jr.,All,,Children,
34,Beate Heister & Karl Albrecht Jr.,Germany,,NetWorth,
34,Beate Heister & Karl Albrecht Jr.,Germany,,Age,
34,Beate Heister & Karl Albrecht Jr.,Germany,,Children,
34,Beate Heister & Karl Albrecht Jr.,Germany,,NetWorth,39.2
34,Beate Heister & Karl Albrecht Jr.,Germany,,Age,
34,Beate Heister & Karl Albrecht Jr.,Germany,,Children,
35,All,All,,NetWorth,
35,All,All,,Age,
35,All,All,,Children,
35,Wang Wei,All,,NetWorth,
35,Wang Wei,All,,Age,
35,Wang Wei,All,,Children,
35,Wang Wei,China,,NetWorth,
35,Wang Wei,China,,Age,
35,Wang Wei,China,,Children,
35,Wang Wei,China,,NetWorth,39
35,Wang Wei,China,,Age,50
35,Wang Wei,China,,Children,
36,All,All,,NetWorth,
36,All,All,,Age,
36,All,All,,Children,
36,Miriam Adelson,All,,NetWorth,
36,Miriam Adelson,All,,Age,
36,Miriam Adelson,All,,Children,
36,Miriam Adelson,United States,,NetWorth,
36,Miriam Adelson,United States,,Age,
36,Miriam Adelson,United States,,Children,
36,Miriam Adelson,United States,,NetWorth,38.2
36,Miriam Adelson,United States,,Age,75
36,Miriam Adelson,United States,,Children,5
37,All,All,,NetWorth,
37,All,All,,Age,
37,All,All,,Children,
37,He Xiangjian,All,,NetWorth,
37,He Xiangjian,All,,Age,
37,He Xiangjian,All,,Children,
37,He Xiangjian,China,,NetWorth,
37,He Xiangjian,China,,Age,
37,He Xiangjian,China,,Children,
37,He Xiangjian,China,,NetWorth,37.7
37,He Xiangjian,China,,Age,78
37,He Xiangjian,China,,Children,3
38,All,All,,NetWorth,
38,All,All,,Age,
38,All,All,,Children,
38,Dieter Schwarz,All,,NetWorth,
38,Dieter Schwarz,All,,Age,
38,Dieter Schwarz,All,,Children,
38,Dieter Schwarz,Germany,,NetWorth,
38,Dieter Schwarz,Germany,,Age,
38,Dieter Schwarz,Germany,,Children,
38,Dieter Schwarz,Germany,,NetWorth,36.9
38,Dieter Schwarz,Germany,,Age,81
38,Dieter Schwarz,Germany,,Children,2
39,All,All,,NetWorth,
39,All,All,,Age,
39,All,All,,Children,
39,Zhang Yiming,All,,NetWorth,
39,Zhang Yiming,All,,Age,
39,Zhang Yiming,All,,Children,
39,Zhang Yiming,China,,NetWorth,
39,Zhang Yiming,China,,Age,
39,Zhang Yiming,China,,Children,
39,Zhang Yiming,China,,NetWorth,35.6
39,Zhang Yiming,China,,Age,37
39,Zhang Yiming,China,,Children,
40,All,All,,NetWorth,
40,All,All,,Age,
40,All,All,,Children,
40,Giovanni Ferrero,All,,NetWorth,
40,Giovanni Ferrero,All,,Age,
40,Giovanni Ferrero,All,,Children,
40,Giovanni Ferrero,Italy,,NetWorth,
40,Giovanni Ferrero,Italy,,Age,
40,Giovanni Ferrero,Italy,,Children,
40,Giovanni Ferrero,Italy,,NetWorth,35.1
40,Giovanni Ferrero,Italy,,Age,56
40,Giovanni Ferrero,Italy,,Children,2
41,All,All,,NetWorth,
41,All,All,,Age,
41,All,All,,Children,
41,Alain Wertheimer,All,,NetWorth,
41,Alain Wertheimer,All,,Age,
41,Alain Wertheimer,All,,Children,
41,Alain Wertheimer,France,,NetWorth,
41,Alain Wertheimer,France,,Age,
41,Alain Wertheimer,France,,Children,
41,Alain Wertheimer,France,,NetWorth,34.5
41,Alain Wertheimer,France,,Age,72
41,Alain Wertheimer,France,,Children,3
41,Gerard Wertheimer,All,,NetWorth,
41,Gerard Wertheimer,All,,Age,
41,Gerard Wertheimer,All,,Children,
41,Gerard Wertheimer,France,,NetWorth,
41,Gerard Wertheimer,France,,Age,
41,Gerard Wertheimer,France,,Children,
41,Gerard Wertheimer,France,,NetWorth,34.5
41,Gerard Wertheimer,France,,Age,70
41,Gerard Wertheimer,France,,Children,2
43,All,All,,NetWorth,
43,All,All,,Age,
43,All,All,,Children,
43,Li Ka-shing,All,,NetWorth,
43,Li Ka-shing,All,,Age,
43,Li Ka-shing,All,,Children,
43,Li Ka-shing,Hong Kong,,NetWorth,
43,Li Ka-shing,Hong Kong,,Age,
43,Li Ka-shing,Hong Kong,,Children,
43,Li Ka-shing,Hong Kong,,NetWorth,33.7
43,Li Ka-shing,Hong Kong,,Age,92
43,Li Ka-shing,Hong Kong,,Children,2
44,All,All,,NetWorth,
44,All,All,,Age,
44,All,All,,Children,
44,Qin Yinglin & family,All,,NetWorth,
44,Qin Yinglin & family,All,,Age,
44,Qin Yinglin & family,All,,Children,
44,Qin Yinglin & family,China,,NetWorth,
44,Qin Yinglin & family,China,,Age,
44,Qin Yinglin & family,China,,Children,
44,Qin Yinglin & family,China,,NetWorth,33.5
44,Qin Yinglin & family,China,,Age,56
44,Qin Yinglin & family,China,,Children,
45,All,All,,NetWorth,
45,All,All,,Age,
45,All,All,,Children,
45,William Lei Ding,All,,NetWorth,
45,William Lei Ding,All,,Age,
45,William Lei Ding,All,,Children,
45,William Lei Ding,China,,NetWorth,
45,William Lei Ding,China,,Age,
45,William Lei Ding,China,,Children,
45,William Lei Ding,China,,NetWorth,33
45,William Lei Ding,China,,Age,49
45,William Lei Ding,China,,Children,
46,All,All,,NetWorth,
46,All,All,,Age,
46,All,All,,Children,
46,Len Blavatnik,All,,NetWorth,
46,Len Blavatnik,All,,Age,
46,Len Blavatnik,All,,Children,
46,Len Blavatnik,United States,,NetWorth,
46,Len Blavatnik,United States,,Age,
46,Len Blavatnik,United States,,Children,
46,Len Blavatnik,United States,,NetWorth,32
46,Len Blavatnik,United States,,Age,63
