location,Year,Month,Value Column Name,Value,Last Updated,Source,ir_comments
"Brazil","2020","September","% death","0.02500490216171484","","Visual Measure",""
"Brazil","2020","October","new_cases","724670","","Native",""
"Brazil","2020","October","new_deaths","15932","","Native",""
"Brazil","2020","October","% death","0.02198517946099604","","Visual Measure",""
"Brazil","2020","November","new_cases","800273","","Native",""
"Brazil","2020","November","new_deaths","13236","","Native",""
"Brazil","2020","November","% death","0.016539355944783844","","Visual Measure",""
"Brazil","2020","December","new_cases","1340095","","Native",""
"Brazil","2020","December","new_deaths","21829","","Native",""
"Brazil","2020","December","% death","0.01628914368011223","","Visual Measure",""
"Brazil","2021","January","new_cases","1528758","","Native",""
"Brazil","2021","January","new_deaths","29555","","Native",""
"Brazil","2021","January","% death","0.01933268705707509","","Visual Measure",""
"Brazil","2021","February","new_cases","1346528","","Native",""
"Brazil","2021","February","new_deaths","30438","","Native",""
"Brazil","2021","February","% death","0.022604802870790655","","Visual Measure",""
"Brazil","2021","March","new_cases","2197488","","Native",""
"Brazil","2021","March","new_deaths","66573","","Native",""
"Brazil","2021","March","% death","0.03029504597977327","","Visual Measure",""
"Brazil","2021","April","new_cases","1374048","","Native",""
"Brazil","2021","April","new_deaths","59960","","Native",""
"Brazil","2021","April","% death","0.04363748573557838","","Visual Measure",""
"France","2020","January","new_cases","5","","Native",""
"France","2020","January","new_deaths",,"","Native",""
"France","2020","January","% death","0","","Visual Measure",""
"France","2020","February","new_cases","95","","Native",""
"France","2020","February","new_deaths","2","","Native",""
"France","2020","February","% death","0.021052631578947368","","Visual Measure",""
"France","2020","March","new_cases","52178","","Native",""
"France","2020","March","new_deaths","3524","","Native",""
"France","2020","March","% death","0.06753804285330982","","Visual Measure",""
"France","2020","April","new_cases","116583","","Native",""
"France","2020","April","new_deaths","20823","","Native",""
"France","2020","April","% death","0.17861094670749594","","Visual Measure",""
"France","2020","May","new_cases","22114","","Native",""
"France","2020","May","new_deaths","4456","","Native",""
"France","2020","May","% death","0.20150131138645203","","Visual Measure",""
"France","2020","June","new_cases","13269","","Native",""
"France","2020","June","new_deaths","1041","","Native",""
